"광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있으며, 입력은 최대 만(10000)개까지 가능합니다.",,,,,
"광고그룹 1개당 등록 가능한 소재는 총 5개 까지 입니다.",,,,,
"소재의 연결 URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주세요.",,,,,
의료 광고 대상 광고주께서는 심의필번호를 등록하기 전에 서류관리 메뉴를 통해 제출해야 검토가 진행됩니다.,,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요.,,,,,
광고그룹ID(필수),제목(필수),설명(필수),PC URL(필수),모바일 URL(필수),의료광고 심의필 번호(의료광고인 경우에만 입력하세요. 6~12자)
grp-a001-01-000000072767665,덕성여대 면접 형태부터 판정,"덕성인재전형2 면접 형태와 전형별 제원, 생기부 질문 규칙 20개",https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,
grp-a001-01-000000072767665,덕성여대 면접 내 질문부터,13년차 대치동 컨설턴트가 뽑은 덕성인재전형2 면접 기출과 질문 규칙 20개,https://hyunhak.com/guidebook/duksung.html,https://hyunhak.com/guidebook/duksung.html,
