group,slug,tier,keyword,total,pc,mo,clk_pc,clk_mo,ctr_pc,ctr_mo,comp,ads
general,,T4,공공기관면접학원,10.0,5.0,5.0,0.0,0.3,-,4.35%,높음,7.0
general,,T4,면접상담,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,토론면접스터디,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,국민연금공단면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,부산시설공단면접,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,삼성SDI면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,면접이미지컨설팅,10.0,5.0,5.0,0.0,0.0,-,-,높음,3.0
general,,T4,목포면접,10.0,5.0,5.0,0.0,0.0,-,-,높음,3.0
general,,T4,안산면접,10.0,5.0,5.0,0.2,0.3,5.89%,6.67%,중간,6.0
general,,T4,코레일면접스터디,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,코레일면접기출,10.0,5.0,5.0,0.0,0.0,-,-,높음,3.0
general,,T4,지역농협주장면접,10.0,5.0,5.0,0.0,0.0,-,-,높음,3.0
general,,T4,부산코레일면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,도로교통공단면접,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,삼성면접컨설팅,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,포스코면접학원,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,삼성전자면접컨설팅,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,현대건설면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,현대로템1차면접,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,삼성SDI면접준비,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,삼성엔지니어링면접,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,삼성전자면접준비,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,현대제철면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,한수원면접학원,10.0,5.0,5.0,0.0,0.3,-,8.34%,낮음,0.0
general,,T4,삼성면접준비,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,삼성디스플레이면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,AI면접코칭,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,AI면접업체,10.0,5.0,5.0,0.0,0.0,-,-,높음,3.0
general,,T4,지방직면접스터디,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,국가직면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
general,,T4,국가정보원면접,10.0,5.0,5.0,0.1,0.3,3.58%,4%,높음,7.0
general,,T4,면접프로그램,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,울산면접컨설팅,10.0,5.0,5.0,0.0,0.0,-,-,높음,7.0
general,,T4,PT면접연습,10.0,5.0,5.0,0.0,0.0,-,-,높음,3.0
general,,T4,대전면접스터디,10.0,5.0,5.0,0.0,0.0,-,-,높음,3.0
other_univ,,T2,신한대면접,540.0,60.0,480.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T2,수원대면접,410.0,60.0,350.0,0.0,0.3,-,0.13%,높음,7.0
other_univ,,T2,성결대면접,370.0,60.0,310.0,0.0,0.0,-,-,중간,6.0
other_univ,,T2,대학교면접,330.0,40.0,290.0,0.0,1.0,-,0.42%,높음,10.0
other_univ,,T2,경북대면접,330.0,30.0,300.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T2,의대면접,220.0,50.0,170.0,0.2,3.0,0.4%,2.06%,높음,10.0
other_univ,,T3,신한대학교면접,190.0,40.0,150.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T3,한양대면접,180.0,30.0,150.0,0.0,0.0,-,-,높음,7.0
other_univ,,T3,을지대면접,160.0,10.0,150.0,0.0,0.3,-,0.27%,중간,6.0
other_univ,,T3,대학교면접학원,140.0,10.0,130.0,0.1,3.6,0.91%,3.16%,높음,10.0
other_univ,,T3,성균관대면접,140.0,20.0,120.0,0.0,0.3,-,0.25%,높음,7.0
other_univ,,T3,대학교면접준비,120.0,10.0,110.0,0.4,1.5,3.07%,1.48%,높음,7.0
other_univ,,T3,성결대학교면접,100.0,30.0,70.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T3,총신대면접,90.0,20.0,70.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T3,의대면접학원,80.0,20.0,60.0,0.7,2.3,3.89%,4.1%,높음,10.0
other_univ,,T3,강남대면접,65.0,5.0,60.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T3,사범대면접,55.0,5.0,50.0,0.0,0.3,-,0.66%,높음,3.0
other_univ,,T3,홍대면접,55.0,5.0,50.0,0.0,0.0,-,-,높음,10.0
other_univ,,T3,항공대면접,50.0,10.0,40.0,0.0,0.0,-,-,높음,7.0
other_univ,,T3,의대면접준비,50.0,10.0,40.0,1.0,2.8,6.25%,5.4%,높음,7.0
other_univ,,T4,한국항공대면접,45.0,5.0,40.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,포항공대면접,40.0,10.0,30.0,0.0,0.0,-,-,중간,6.0
other_univ,,T4,성균관대학교면접,30.0,10.0,20.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,대학교면접예상질문,25.0,5.0,20.0,0.0,0.0,-,-,높음,7.0
other_univ,,T4,건양대의대면접,25.0,5.0,20.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,해운대면접학원,25.0,5.0,20.0,0.1,1.0,3.58%,5.56%,높음,7.0
other_univ,,T4,대림대학교면접,15.0,5.0,10.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,총신대학교면접,15.0,5.0,10.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,가톨릭의대면접,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,의대면접핵심논점100주제,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,부산의대면접,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
other_univ,,T4,농협대학교면접,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
univ,ajou,T2,아주대면접,200.0,20.0,180.0,0.0,0.0,-,-,높음,10.0
univ,ajou,T4,아주대면접후기,40.0,10.0,30.0,0.0,0.0,-,-,낮음,0.0
univ,catholic,T2,가톨릭대면접,200.0,10.0,190.0,0.0,0.0,-,-,중간,5.0
univ,cau,T2,중앙대면접,220.0,40.0,180.0,0.2,0.0,0.59%,-,높음,10.0
univ,cau,T4,중앙대수시면접,45.0,5.0,40.0,0.0,0.0,-,-,높음,3.0
univ,dankook,T3,단국대면접,140.0,20.0,120.0,0.0,0.0,-,-,낮음,0.0
univ,donga,T3,동아대면접,180.0,20.0,160.0,0.0,0.0,-,-,낮음,0.0
univ,dongduk,T3,동덕여대면접,120.0,10.0,110.0,0.0,0.0,-,-,낮음,0.0
univ,dongguk,T2,동국대면접,290.0,40.0,250.0,0.0,0.3,-,0.12%,높음,10.0
univ,dongguk,T4,동국대학교면접,35.0,5.0,30.0,0.0,0.0,-,-,높음,7.0
univ,duksung,T3,덕성여대면접,140.0,20.0,120.0,0.0,0.0,-,-,낮음,0.0
univ,ewha,T3,이화여대면접,180.0,30.0,150.0,0.0,0.0,-,-,높음,7.0
univ,ewha,T3,이대면접,80.0,10.0,70.0,0.0,0.0,-,-,높음,7.0
univ,ewha,T4,이화여대면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
univ,gachon,T1,가천대면접,1030.0,110.0,920.0,0.0,0.0,-,-,낮음,0.0
univ,gachon,T2,가천대면접질문,340.0,50.0,290.0,0.0,0.0,-,-,낮음,0.0
univ,gachon,T2,가천대면접학원,210.0,40.0,170.0,0.9,10.6,2.6%,6.86%,높음,7.0
univ,gachon,T3,가천대학교면접,180.0,40.0,140.0,0.3,0.6,0.91%,0.46%,높음,7.0
univ,gachon,T3,가천대면접준비,60.0,10.0,50.0,0.5,1.9,3.23%,3.51%,중간,4.0
univ,gachon,T3,가천대면접기출,60.0,10.0,50.0,0.0,0.0,-,-,낮음,0.0
univ,hanyang-erica,T2,한양대에리카면접,270.0,40.0,230.0,0.0,0.0,-,-,낮음,0.0
univ,hufs,T2,한국외대면접,200.0,10.0,190.0,0.0,0.0,-,-,낮음,0.0
univ,incheon,T2,인천대면접,310.0,40.0,270.0,0.0,0.0,-,-,낮음,0.0
univ,incheon,T3,인천대입면접학원,55.0,5.0,50.0,0.4,0.7,8.58%,1.46%,높음,7.0
univ,inha,T2,인하대면접,310.0,40.0,270.0,0.0,0.3,-,0.11%,높음,10.0
univ,inha,T4,인하대수시면접,35.0,5.0,30.0,0.0,0.0,-,-,낮음,0.0
univ,khu,T2,경희대면접,340.0,50.0,290.0,0.0,0.3,-,0.1%,높음,10.0
univ,khu,T4,경희대학교면접,30.0,10.0,20.0,0.0,0.0,-,-,높음,7.0
univ,konkuk,T2,건국대면접,300.0,50.0,250.0,0.0,0.0,-,-,높음,10.0
univ,konkuk,T3,건국대학교면접,50.0,10.0,40.0,0.3,0.0,4.09%,-,높음,7.0
univ,konkuk,T4,건국대수시면접,35.0,5.0,30.0,0.0,0.0,-,-,낮음,0.0
univ,kookmin,T2,국민대면접,280.0,40.0,240.0,0.0,0.5,-,0.24%,높음,10.0
univ,korea,T2,고려대면접,210.0,30.0,180.0,0.0,1.0,-,0.6%,높음,7.0
univ,korea,T2,고려대제시문면접,200.0,30.0,170.0,0.4,0.7,1.35%,0.49%,높음,7.0
univ,korea,T3,고려대학교면접,50.0,10.0,40.0,0.0,1.0,-,2.57%,높음,7.0
univ,korea,T4,고려대면접학원,35.0,5.0,30.0,0.3,1.9,4.09%,5.89%,높음,7.0
univ,kwangwoon,T2,광운대면접,220.0,20.0,200.0,0.0,0.0,-,-,높음,7.0
univ,kyonggi,T2,경기대면접,330.0,40.0,290.0,0.0,0.0,-,-,높음,10.0
univ,myongji,T1,명지대교과면접,1130.0,130.0,1000.0,0.0,0.0,-,-,낮음,0.0
univ,myongji,T2,명지대면접,440.0,50.0,390.0,0.0,0.5,-,0.16%,높음,7.0
univ,myongji,T4,명지대학교면접,35.0,5.0,30.0,0.0,0.0,-,-,낮음,0.0
univ,pusan,T2,부산대면접,270.0,10.0,260.0,0.0,0.0,-,-,높음,7.0
univ,pusan,T3,부산대입면접학원,140.0,30.0,110.0,0.8,7.4,2.29%,7.77%,높음,10.0
univ,pusan,T4,부산대학면접학원,40.0,10.0,30.0,0.7,0.8,6.5%,2.35%,높음,7.0
univ,pusan,T4,부산대입면접,15.0,5.0,10.0,0.7,1.8,8.93%,12.73%,높음,7.0
univ,pusan,T4,부산대의대면접,15.0,5.0,10.0,0.0,0.0,-,-,낮음,0.0
univ,pusan,T4,부산대면접학원,10.0,5.0,5.0,0.0,0.0,-,-,낮음,0.0
univ,sahmyook,T3,삼육대면접,190.0,30.0,160.0,0.0,0.0,-,-,낮음,0.0
univ,sejong,T2,세종대면접,200.0,20.0,180.0,0.0,0.0,-,-,낮음,0.0
univ,seoultech,T3,서울과기대면접,180.0,30.0,150.0,0.0,0.0,-,-,낮음,0.0
univ,seoultech,T3,과기대면접,150.0,10.0,140.0,0.0,0.0,-,-,낮음,0.0
univ,snu,T2,서울대면접,550.0,100.0,450.0,0.3,0.3,0.36%,0.06%,높음,10.0
univ,snu,T2,서울대일반전형면접,370.0,40.0,330.0,0.0,1.0,-,0.34%,높음,10.0
univ,snu,T2,서울대제시문면접,330.0,80.0,250.0,1.3,0.7,1.69%,0.29%,높음,3.0
univ,snu,T2,서울대지균면접,290.0,40.0,250.0,0.7,0.8,1.75%,0.33%,높음,10.0
univ,snu,T2,서울대면접학원,200.0,40.0,160.0,0.5,5.3,1.57%,3.44%,높음,10.0
univ,snu,T3,서울대수시면접,110.0,20.0,90.0,0.0,0.3,-,0.3%,높음,10.0
univ,snu,T3,서울대면접준비,70.0,10.0,60.0,0.0,1.3,-,2.16%,높음,10.0
univ,snu,T4,서울대학교면접,30.0,10.0,20.0,0.0,0.0,-,-,높음,10.0
univ,snu,T4,서울대지역균형면접,20.0,10.0,10.0,0.8,0.0,6.46%,-,높음,3.0
univ,snu,T4,분당서울대학교병원면접,15.0,5.0,10.0,0.0,0.0,-,-,높음,7.0
univ,sookmyung,T2,숙명여대면접,200.0,20.0,180.0,0.0,0.0,-,-,높음,10.0
univ,soongsil,T2,숭실대면접,340.0,50.0,290.0,0.1,0.0,0.25%,-,높음,10.0
univ,soongsil,T3,숭실대학교면접,55.0,5.0,50.0,0.0,0.3,-,0.69%,높음,7.0
univ,soongsil,T4,숭실대수시면접,45.0,5.0,40.0,0.0,0.0,-,-,낮음,0.0
univ,sungshin,T2,성신여대면접,280.0,30.0,250.0,0.2,0.3,0.75%,0.12%,높음,10.0
univ,swu,T2,서울여대면접,250.0,20.0,230.0,0.0,0.0,-,-,낮음,0.0
univ,ulsan,T3,울산대면접,55.0,5.0,50.0,0.0,0.0,-,-,낮음,0.0
univ,uos,T2,서울시립대면접,230.0,30.0,200.0,0.0,0.0,-,-,높음,10.0
univ,uos,T2,시립대면접,210.0,20.0,190.0,0.0,0.3,-,0.16%,높음,7.0
univ,yonsei,T2,연세대제시문면접,300.0,60.0,240.0,0.0,0.0,-,-,낮음,0.0
univ,yonsei,T2,연세대면접,240.0,40.0,200.0,0.0,0.5,-,0.28%,높음,10.0
univ,yonsei,T3,연세대면접학원,50.0,10.0,40.0,0.7,2.5,5.11%,6.18%,높음,7.0
univ,yonsei,T4,연세대학교면접,20.0,10.0,10.0,0.1,0.5,1.3%,2.95%,높음,7.0
