pages=61 dist(home→cart)=1 dist(home→checkout)=2
index.html: body_links=17 targets=8 max_repeat=5 dist=0
programs/guidebook.html: body_links=36 targets=35 max_repeat=2 dist=1
programs/studio.html: body_links=12 targets=6 max_repeat=6 dist=1
guidebook/index.html: body_links=11 targets=9 max_repeat=2 dist=1
studio.html: body_links=8 targets=6 max_repeat=2 dist=2
ranking.html: body_links=4 targets=4 max_repeat=1 dist=1
b2b.html: body_links=5 targets=4 max_repeat=2 dist=1
lectures.html: body_links=28 targets=14 max_repeat=3 dist=1
my.html: body_links=11 targets=10 max_repeat=2 dist=1
cart.html: body_links=7 targets=6 max_repeat=2 dist=1
