motion pre|1440x900|N4 {"frames":183,"maxBarOv":22375,"maxActOv":151051,"barMove":486,"worst":{"kind":"bar","i":"2","op":1,"l":417,"r":813,"b":742,"barT":501}}
motion pre|1440x900|N6 {"frames":183,"maxBarOv":22205,"maxActOv":70607,"barMove":486,"worst":{"kind":"bar","i":"1","op":1,"l":680,"r":1076,"b":650,"barT":500}}
motion pre|2560x1440|N3S {"frames":183,"maxBarOv":22206,"maxActOv":150700,"barMove":486,"worst":{"kind":"bar","i":"0","op":1,"l":1238,"r":1634,"b":914,"barT":770}}
motion pre|2560x1440|N4 {"frames":183,"maxBarOv":22375,"maxActOv":151051,"barMove":486,"worst":{"kind":"bar","i":"0","op":1,"l":1187,"r":1583,"b":914,"barT":771}}
motion pre|2560x1440|N6 {"frames":183,"maxBarOv":22205,"maxActOv":70607,"barMove":486,"worst":{"kind":"bar","i":"1","op":1,"l":1240,"r":1636,"b":920,"barT":770}}
part motion 188.7s
wrote /Users/gregory/Workspace/_wt/hh-studio12/_design/site_audit_20260923/r7/refute_layout.json
meta {"head":"e944d90","pre":"96be167","at":"2026-09-23T08:37:17.822Z","served":{"assets/app.js":{"served":"e57e42611f9e87aa","head":"e57e42611f9e87aa","pre":"332ffe29281a179d","sameHead":true},"assets/base.css":{"served":"97e550d7da150959","head":"97e550d7da150959","pre":"3aa349c81ec7cc74","sameHead":true}}}
motion2 post|1440x900|N3S|gap600 [["R",2,"0,1,-1>-1,0,1",52390,"12/38",[0,2,1,986,1382,"none"]],["R",3,"-1,0,1>1,-1,0",46421,"10/37",[16,0,1,986,1382,"none"]],["R",1,"1,-1,0>0,1,-1",135060,"10/37",[16,1,1,986,1382,"none"]],["R",2,"0,1,-1>-1,0,1",46715,"10/37",[15,2,1,986,1382,"none"]],["R",3,"-1,0,1>1,-1,0",46391,"10/37",[16,0,1,986,1382,"none"]],["L",2,"1,-1,0>-1,0,1",134383,"10/36",[17,0,1,58,454,"none"]],["L",1,"-1,0,1>0,1,-1",46919,"10/37",[15,2,1,58,454,"none"]]]
motion2 post|1440x900|N3S|gap420 [["R",2,"0,1,-1>-1,0,1",52390,"12/27",[0,2,1,986,1382,"none"]],["R",3,"-1,0,1>1,-1,0",52672,"11/26",[16,0,1,986,1382,"none"]],["R",1,"1,-1,0>0,1,-1",153282,"11/26",[15,1,1,986,1382,"none"]],["R",2,"0,1,-1>-1,0,1",52390,"11/26",[15,2,1,986,1382,"none"]],["R",3,"-1,0,1>1,-1,0",52672,"11/26",[16,0,1,986,1382,"none"]],["L",2,"1,-1,0>-1,0,1",134056,"10/26",[16,0,1,58,454,"none"]],["L",1,"-1,0,1>0,1,-1",52672,"11/26",[16,2,1,58,454,"none"]]]
